City,Average Compensation (USD),Min Compensation (USD),Max Compensation (USD)
DURHAM,"71,666.00","45,000.00","103,750.00"
DURHAM NC,"101,018.00","101,018.00","101,018.00"
"DURHAM, NC","118,500.00","55,000.00","152,500.00"
DÜSSELDORF,"65,250.00","53,000.00","77,500.00"
EAST BAY,"155,500.00","155,500.00","155,500.00"
"EAST CAMDEN, AR","31,650.00","31,650.00","31,650.00"
EAST LANSING,"64,500.00","64,500.00","64,500.00"
EAST TENNESSEE,"96,000.00","96,000.00","96,000.00"
EASTERN WASHINGTON STATE,"110,700.00","110,700.00","110,700.00"
EAU CLAIRE,"60,375.00","42,500.00","89,000.00"
"EAU CLAIRE, WI","68,000.00","68,000.00","68,000.00"
EDINBURGH,"52,179.86","29,670.00","92,642.00"
EDISON,"31,200.00","31,200.00","31,200.00"
"EDISON, NJ","84,000.00","84,000.00","84,000.00"
EDMONTON,"88,260.24","30,092.20","226,005.00"
EINDHOVEN,"82,700.00","82,700.00","82,700.00"
ELKHART,"95,500.00","86,000.00","105,000.00"
"ELKHART, IN","41,500.00","41,500.00","41,500.00"
EMDEN,"41,000.00","41,000.00","41,000.00"
EMERYVILLE,"125,000.00","80,000.00","170,000.00"
ENDICOTT,"24,000.00","24,000.00","24,000.00"
ERIE,"38,500.00","38,500.00","38,500.00"
ESBJERG,"45,000.00","45,000.00","45,000.00"
ESPOO,"88,000.00","88,000.00","88,000.00"
EUGENE,"103,900.00","103,900.00","103,900.00"
EVANSVILLE,"64,700.80","41,901.60","87,500.00"
EVERETT,"29,000.00","29,000.00","29,000.00"
EXETER,"30,733.33","21,200.00","39,000.00"
EXTON,"67,500.00","67,500.00","67,500.00"
FAIRFAX,"54,000.00","36,000.00","72,000.00"
FAIRFAX VA,"40,000.00","40,000.00","40,000.00"
"FAIRFAX, VA","92,800.00","70,000.00","115,600.00"
"FAIRFIELD, CA","210,000.00","210,000.00","210,000.00"
FARGO,"80,000.00","80,000.00","80,000.00"
"FARGO, ND","51,800.00","51,800.00","51,800.00"
FARMINGTON HILLS,"51,000.00","51,000.00","51,000.00"
"FARMINGTON HILLS, MI","85,000.00","85,000.00","85,000.00"
FAYETTEVILLE AR,"90,000.00","90,000.00","90,000.00"
"FAYETTEVILLE, NC","85,202.50","46,405.00","124,000.00"
FELIXSTOWE,"33,500.00","33,500.00","33,500.00"
"FENTON, MO","74,750.00","74,750.00","74,750.00"
FLINT,"56,800.00","50,000.00","63,600.00"
FLORIDA,"91,225.00","66,950.00","115,500.00"
FOLSOM,"220,000.00","220,000.00","220,000.00"
FORT CAMPBELL,"24,000.00","24,000.00","24,000.00"
FORT COLLINS,"67,000.00","67,000.00","67,000.00"
"FORT COLLINS, CO","72,500.00","72,500.00","72,500.00"
FORT HUACHUCA,"90,000.00","90,000.00","90,000.00"
FORT LAUDERDALE,"99,000.00","99,000.00","99,000.00"
FORT MYERS,"48,100.00","48,100.00","48,100.00"
FORT WAYNE,"91,000.00","91,000.00","91,000.00"
"FORT WAYNE, IN","65,000.00","65,000.00","65,000.00"
"FORT WAYNE, INDIANA","43,500.00","43,500.00","43,500.00"
FORT WORTH,"83,600.00","54,000.00","143,000.00"
"FORT WORTH, TX","62,000.00","62,000.00","62,000.00"
FOSTER CITY,"133,000.00","133,000.00","133,000.00"
FRANKFORT,"55,000.00","55,000.00","55,000.00"
"FRANKFORT, IN","48,500.00","48,500.00","48,500.00"
FRANKFURT,"80,000.00","80,000.00","80,000.00"
"FREDERICK, MD","68,500.00","45,000.00","92,000.00"
FREDERICTON,"54,700.00","47,000.00","62,400.00"
FRESNO,"73,000.00","73,000.00","73,000.00"
FRIESLAND,"37,063.00","37,063.00","37,063.00"
FT LAUDERDALE,"100,500.00","100,500.00","100,500.00"
FULLERTON,"54,500.00","54,500.00","54,500.00"
FULLY REMOTE,"275,000.00","275,000.00","275,000.00"
FULTON,"154,500.00","154,500.00","154,500.00"
FUQUAY-VARINA,"81,000.00","81,000.00","81,000.00"
GAINESVILLE,"48,700.00","34,000.00","74,000.00"
GALWAY,"34,380.00","28,000.00","40,760.00"
GARÐABÆR,"90,332.00","90,332.00","90,332.00"
GEELONG,"53,500.00","53,500.00","53,500.00"
GELEEN,"31,000.00","31,000.00","31,000.00"
GENEVA,"140,250.00","110,000.00","175,000.00"
GEORGETOWN,"50,000.00","50,000.00","50,000.00"
GLASGOW,"84,302.33","37,600.00","155,000.00"
GLENDALE,"122,500.00","122,500.00","122,500.00"
GLOUCESTER,"55,624.50","55,624.50","55,624.50"
GOA,"9,070.75","9,070.75","9,070.75"
GOLD COAST,"41,473.94","41,473.94","41,473.94"
GOTHENBURG,"53,808.50","44,617.00","63,000.00"
GRAND ISLAND,"100,000.00","100,000.00","100,000.00"
GRAND RAPIDS,"69,209.09","41,000.00","118,000.00"
"GRAND RAPIDS, MI","68,170.00","56,000.00","80,340.00"
GRANDE PRAIRIE,"60,000.00","52,000.00","68,000.00"
GRANDVILLE,"56,075.00","56,075.00","56,075.00"
"GRANDVILLE, MI","55,000.00","55,000.00","55,000.00"
GRAZ,"61,970.00","61,970.00","61,970.00"
GREATER BOSTON AREA,"55,700.00","55,700.00","55,700.00"
GREATER CHICAGOLAND,"140,000.00","140,000.00","140,000.00"
GREATER DC / MARYLAND,"218,000.00","218,000.00","218,000.00"
GREATER MINNESOTA,"56,500.00","56,500.00","56,500.00"
GREEN BAY,"91,125.00","50,500.00","119,000.00"
"GREEN BAY, WI","125,000.00","125,000.00","125,000.00"
GREEN RIVER WY,"96,000.00","96,000.00","96,000.00"
"GREENBELT, MD","176,000.00","176,000.00","176,000.00"
GREENSBORO,"91,600.00","77,000.00","106,200.00"
"GREENSBORO, NC","58,000.00","58,000.00","58,000.00"
GREENVILLE,"52,121.67","45,000.00","65,000.00"
GREENVILLE SC,"70,000.00","70,000.00","70,000.00"
"GREENVILLE, SC","62,750.00","47,500.00","78,000.00"
GRENOBLE,"29,616.67","19,000.00","39,000.00"
GRONINGEN,"32,074.31","2,022.94","51,200.00"
GTA,"34,219.13","34,219.13","34,219.13"
GUADALAJARA,"29,750.00","15,500.00","44,000.00"
GUELPH,"100,000.00","100,000.00","100,000.00"
GUERNSEY,"48,578.00","48,578.00","48,578.00"
GUILDFORD,"69,000.00","69,000.00","69,000.00"
HALIFAX,"37,200.00","32,000.00","46,600.00"
HAMBURG,"60,376.88","39,000.00","83,000.00"
HAMILTON,"61,500.00","45,000.00","80,000.00"
HAMPSHIRE,"27,000.00","27,000.00","27,000.00"
HANOI,"15,000.00","15,000.00","15,000.00"
HANOVER,"55,440.00","55,440.00","55,440.00"
HARRISBURG,"62,500.00","44,500.00","79,000.00"
HARROGATE,"55,654.00","55,654.00","55,654.00"
HARTFORD,"73,083.33","68,500.00","80,000.00"
"HARTFORD, CT","98,500.00","75,000.00","122,000.00"
"HARTVILLE, OHIO","4,400.00","4,400.00","4,400.00"
"HATFIELD, PA","60,600.00","60,600.00","60,600.00"
HAUPPAUGE,"163,000.00","163,000.00","163,000.00"
HELSINKI,"59,813.33","32,000.00","100,600.00"
HENDERSON (LAS VEGAS VALLEY),"96,000.00","96,000.00","96,000.00"
HEREDIA,"24,000.00","24,000.00","24,000.00"
"HERNDON, VA","140,000.00","140,000.00","140,000.00"
"HICKORY, NC","52,000.00","52,000.00","52,000.00"
HILLSBORO,"93,000.00","93,000.00","93,000.00"
HOBOKEN,"78,500.00","78,500.00","78,500.00"
HOFGEISMAR,"46,815.00","46,815.00","46,815.00"
"HOLLAND, MI","86,500.00","86,500.00","86,500.00"
HOLLYWOOD,"60,000.00","60,000.00","60,000.00"
HOLMDEL,"109,000.00","109,000.00","109,000.00"
HONOLULU,"86,000.00","50,000.00","150,000.00"
HOUDT3,"57,000.00","57,000.00","57,000.00"
HOUSE,"94,000.00","94,000.00","94,000.00"
HOUSTON,"99,994.30","37,000.00","320,000.00"
HOUSTON TEXAS,"60,000.00","60,000.00","60,000.00"
"HOUSTON, TEXAS","70,000.00","70,000.00","70,000.00"
"HOUSTON, TX","104,680.00","52,500.00","149,600.00"
HUNTER,"50,000.00","50,000.00","50,000.00"
HUNTSVILLE,"108,000.00","85,000.00","131,000.00"
"HUNTSVILLE, AL","15,000.00","15,000.00","15,000.00"
"HUNTSVILLE, ALABAMA","111,000.00","111,000.00","111,000.00"
"HUTCHINSON, KS","46,000.00","46,000.00","46,000.00"
IDAHO,"44,600.00","29,000.00","60,200.00"
IDAHO FALLS,"60,000.00","60,000.00","60,000.00"
INDIANA,"56,200.00","56,200.00","56,200.00"
INDIANAPOLIS,"63,120.00","20,850.00","90,000.00"
"INDIANAPOLIS, IN","116,500.00","110,000.00","123,000.00"
"INLAND EMPIRE, CA","89,000.00","65,000.00","113,000.00"
IOWA,"33,517.50",35.00,"67,000.00"
IPSWICH,"28,368.12","2,404.35","48,100.00"
IRVINE,"127,344.56","80,000.00","201,000.00"
IRVINE CA,"115,000.00","115,000.00","115,000.00"
IRVING,"78,000.00","78,000.00","78,000.00"
"ISELIN, NJ","106,000.00","106,000.00","106,000.00"
ISLAMABAD,"20,000.00","20,000.00","20,000.00"
"ISSAQUAH, WA","91,000.00","91,000.00","91,000.00"
ISTANBUL,"6,000.00","6,000.00","6,000.00"
ITHACA,"64,750.00","42,000.00","87,500.00"
JACKSONVILLE,"88,335.00","53,000.00","110,000.00"
"JACKSONVILLE, FL","78,500.00","78,500.00","78,500.00"
JERSEY CITY,"18,000.00","18,000.00","18,000.00"
JOHANNESBURG,"41,506.60","7,000.00","88,000.00"
JOHNSON,"43,000.00","43,000.00","43,000.00"
JOLIET,"100,000.00","100,000.00","100,000.00"
"JUNEAU, AK","90,000.00","90,000.00","90,000.00"
KALAMAZOO,"43,000.00","43,000.00","43,000.00"
"KALAMAZOO, MI","68,000.00","68,000.00","68,000.00"
KAMLOOPS,"70,000.00","70,000.00","70,000.00"
KANATA,"49,500.00","49,500.00","49,500.00"
KANSAS,"62,500.00","55,000.00","70,000.00"
KANSAS CITY,"84,675.71","46,800.00","270,000.00"
KARACHI,"10,734.82","10,734.82","10,734.82"
KARLSRUHE,"55,906.50","52,813.00","59,000.00"
KATOWICE,"9,800.00","9,800.00","9,800.00"
KAUNAS,"25,344.51","25,344.51","25,344.51"
KELOWNA,"54,000.00","54,000.00","54,000.00"
"KENOSHA, WI","56,591.18","52,092.75","61,089.60"
KENTUCKY,"102,500.00","102,500.00","102,500.00"
KILGORE,"82,311.00","82,311.00","82,311.00"
"KIRKLAND, WA","263,000.00","263,000.00","263,000.00"
KITCHENER,"45,500.00","45,500.00","45,500.00"
KLAIPEDA,"17,134.00","17,134.00","17,134.00"
KLAMATH FALLS,"65,000.00","65,000.00","65,000.00"
KNOXVILLE,"55,400.00","34,800.00","76,000.00"
KNOXVILLE TN,"65,000.00","65,000.00","65,000.00"
KOCAELI,"10,000.00","10,000.00","10,000.00"
KOLKATA,"8,250.00","8,250.00","8,250.00"
KRAKOW,"50,000.00","50,000.00","50,000.00"
KRAKÓW,"41,450.00","34,000.00","48,900.00"
KREFELD,"40,263.00","40,263.00","40,263.00"
KRUNG THEP MAHA NAKORN (BANGKOK),"22,000.00","22,000.00","22,000.00"
KUALA LUMPUR,"63,333.33","25,000.00","110,000.00"
KYIV,"38,550.00","2,200.00","62,000.00"
LA COUNTY/INLAND EMPIRE,"82,500.00","82,500.00","82,500.00"
LA CROSSE,"62,066.67","38,000.00","78,000.00"
"LA MIRADA, CALIFORNIA","75,000.00","75,000.00","75,000.00"
LA ROCHELLE,"21,500.00","21,500.00","21,500.00"
LAFAYETTE,"54,300.00","44,000.00","64,600.00"
"LAFAYETTE, LA","50,000.00","50,000.00","50,000.00"
LAHORE,"13,090.00","13,090.00","13,090.00"
LAKE BARRINGTON,"90,000.00","90,000.00","90,000.00"
LAKE CHARLES,"38,395.79","38,000.00","38,791.58"
LAKE FOREST,"70,000.00","70,000.00","70,000.00"
LAKE WORTH,"64,000.00","64,000.00","64,000.00"
LAKEWOOD,"90,000.00","90,000.00","90,000.00"
LANCASTER,"56,000.00","56,000.00","56,000.00"
LANGLEY,"54,000.00","54,000.00","54,000.00"
LANSING,"56,000.00","56,000.00","56,000.00"
"LANSING, MI","35,000.00","35,000.00","35,000.00"
"LANSING, MICHIGAN","36,150.00","36,150.00","36,150.00"
LAS CRUCES,"55,000.00","55,000.00","55,000.00"
LAS VEGAS,"89,500.00","36,000.00","180,000.00"
LAS VEGAS VEGAS,"80,000.00","80,000.00","80,000.00"
LATROBE,"52,000.00","52,000.00","52,000.00"
LAVAL,"55,000.00","45,000.00","65,000.00"
LE SENTIER,"140,000.00","140,000.00","140,000.00"
LEADVILLE,"45,000.00","45,000.00","45,000.00"
LEAGUE CITY,"60,500.00","60,500.00","60,500.00"
LEBANON NH,"116,766.00","116,766.00","116,766.00"
LEEDS,"64,810.00",70.00,"145,000.00"
LEHI,"86,950.00","62,800.00","120,000.00"
"LEHI, UT","175,000.00","175,000.00","175,000.00"
LEIRIA,"15,800.00","15,800.00","15,800.00"
LEOMINSTER,"45,000.00","45,000.00","45,000.00"
LETHBRIDGE,"43,500.00","43,500.00","43,500.00"
LEUVEN,"29,200.00","3,400.00","55,000.00"
LEVICE,"14,500.00","14,500.00","14,500.00"
LEVIS,"54,500.00","54,500.00","54,500.00"
LEWISTON,"66,700.00","66,700.00","66,700.00"
LEXINGTON,"55,866.67","35,600.00","67,000.00"
"LEXINGTON, KY","39,500.00","39,000.00","40,000.00"
LIÈGE,"29,096.00","29,096.00","29,096.00"
LILLE,"34,619.35","34,619.35","34,619.35"
"LIMA, OH","55,000.00","55,000.00","55,000.00"
LIMERICK,"37,800.00","37,400.00","38,200.00"
LIMERICM,"50,000.00","50,000.00","50,000.00"
"LINCOLN, NE","91,940.00","53,880.00","130,000.00"
LINZ,"64,000.00","64,000.00","64,000.00"
LISBON,"14,674.33",23.00,"28,000.00"
LITTLE ROCK,"71,239.54","55,718.62","86,000.00"
"LITTLE ROCK, AR","100,000.00","100,000.00","100,000.00"
LIVERMORE,"81,500.00","81,500.00","81,500.00"
LIVERPOOL,"47,875.00","45,750.00","50,000.00"
LJUBLJANA,"64,900.00","42,000.00","93,000.00"
ŁÓDŹ,"21,700.00","21,700.00","21,700.00"
LOG ANGELES,"85,000.00","85,000.00","85,000.00"
LONDON,"67,211.66","23,000.00","182,000.00"
LONG BEACH,"50,000.00","50,000.00","50,000.00"
LONG ISLAND,"63,000.00","58,000.00","68,000.00"
LONG ISLAND (NYC SUBURB),"77,000.00","77,000.00","77,000.00"
"LONG ISLAND, NY","77,000.00","77,000.00","77,000.00"
LOS ANGELES,"123,481.48","40,000.00","420,000.00"
LOS ANGELES SUBURB,"58,000.00","58,000.00","58,000.00"
LOS ANGELOS,"51,500.00","51,500.00","51,500.00"
LOUISIANA,"56,250.00","56,000.00","56,500.00"
LOUISVILLE,"84,497.14",60.00,"140,000.00"
"LOUISVILLE, KY, USA","185,000.00","185,000.00","185,000.00"
LOUVAIN-LA-NEUVE,"39,239.00","39,239.00","39,239.00"
LUCERNE,"83,500.00","83,500.00","83,500.00"
LUMMEN,"48,800.00","48,800.00","48,800.00"
LYNCHBURG,"52,220.00","6,700.00","85,000.00"
LYNNFIELD,"127,000.00","127,000.00","127,000.00"
LYON,"60,863.00","49,726.00","72,000.00"
MAASTRICHT,"24,000.00","24,000.00","24,000.00"
MADISON,"94,526.00","64,104.00","120,000.00"
"MADISON, WI","93,315.00","45,760.00","160,000.00"
MADRID,"32,207.11",28.62,"67,000.00"
"MAIN OFFICE IN BLOOMFIELD HILLS, MI. MAIN DATACENTER IN WEST CHESTER, OH.","32,500.00","32,500.00","32,500.00"
MALDEGEM,"105,000.00","105,000.00","105,000.00"
MALE',"14,000.00","14,000.00","14,000.00"
MALMO,"81,330.00","81,330.00","81,330.00"
"MALVERN, PA","60,500.00","60,500.00","60,500.00"
MANCHESTER,"56,960.33","24,650.00","81,250.00"
"MANCHESTER, NH","108,000.00","108,000.00","108,000.00"
MANHATTAN,"179,000.00","155,000.00","220,000.00"
"MANHATTAN, KS","62,500.00","50,000.00","75,000.00"
MANILA,"5,000.00","5,000.00","5,000.00"
MANNHEIM,"77,000.00","77,000.00","77,000.00"
MARBELLA,"60,739.00","60,739.00","60,739.00"
"MARIETTA, GA","58,000.00","58,000.00","58,000.00"
"MARKHAM, ON","68,200.00","68,200.00","68,200.00"
MARYLAND,"63,672.17","32,000.00","92,800.00"
MARYVILLE,"70,000.00","70,000.00","70,000.00"
MASSACHUSETTS,"76,500.00","70,000.00","83,000.00"
MASTERTON,"48,200.00","48,200.00","48,200.00"
MATLOCK,"22,240.98","22,240.98","22,240.98"
MCMURRAY,"125,000.00","125,000.00","125,000.00"
MECHANICSBURG,"70,500.00","70,500.00","70,500.00"
MELBOURNE,"75,382.81","31,565.00","172,000.00"
"MELBOURNE, FL","87,000.00","87,000.00","87,000.00"
MEMPHIS,"73,862.50","52,000.00","110,000.00"
"MEMPHIS, TN","52,000.00","52,000.00","52,000.00"
MENLO PARK,"235,000.00","235,000.00","235,000.00"
MERIDIAN ID,"56,000.00","56,000.00","56,000.00"
MERTHYR TYDFIL,"23,474.50","23,474.50","23,474.50"
MESA,"53,700.00","53,700.00","53,700.00"
METRO DETROIT,"107,109.00","104,218.00","110,000.00"
MIAMI,"43,140.00","11,700.00","70,000.00"
MICHIGAN,"40,833.33","12,000.00","55,500.00"
MIDDELFART,"60,500.00","60,500.00","60,500.00"
MIDLAND,"83,000.00","78,000.00","88,000.00"
MIDWEST,"137,650.00","60,300.00","215,000.00"
MILAN,"20,666.50",66.00,"39,600.00"
MILL VALLEY,"62,392.22","62,392.22","62,392.22"
MILWAUKEE,"84,945.27","44,000.00","183,500.00"
MINNEAPOLIS,"110,788.80","40,000.00","235,000.00"
"MINNEAPOLIS, MN","116,000.00","105,000.00","127,000.00"
"MISSION, KS","80,000.00","80,000.00","80,000.00"
MISSISSAUGA,"91,268.40","91,268.40","91,268.40"
MISSISSIPPI,"55,000.00","55,000.00","55,000.00"
"MISSOULA, MT","61,000.00","61,000.00","61,000.00"
MOBILE,"74,000.00","74,000.00","74,000.00"
MODESTO,"60,000.00","60,000.00","60,000.00"
MONMOUTH,"26,496.00","26,496.00","26,496.00"
MONROEVILLE,"65,000.00","65,000.00","65,000.00"
MONTANA AREA,"40,000.00","40,000.00","40,000.00"
MONTEREY,"142,000.00","142,000.00","142,000.00"
MONTERREY,"70,350.00","70,350.00","70,350.00"
MONTEVIDEO,"12,000.00","12,000.00","12,000.00"
MONTGOMERY,"79,500.00","64,000.00","95,000.00"
MONTREAL,"64,918.47","28,000.00","160,000.00"
MONTRÉAL,"53,007.00","29,000.00","110,000.00"
"MONTROSE, CO","54,700.00","54,700.00","54,700.00"
MOOREBANK,"58,315.95","58,315.95","58,315.95"
MORGAN HILL,"82,000.00","82,000.00","82,000.00"
"MORGANTOWN, WV","80,000.00","80,000.00","80,000.00"
MORRISTOWN,"65,200.00","65,200.00","65,200.00"
MORRISVILLE,"78,750.00","43,000.00","97,000.00"
MOSCOW,"39,375.00","26,000.00","61,500.00"
MOUNTAIN VIEW,"144,936.43","77,000.00","242,500.00"
MSP,"94,000.00","94,000.00","94,000.00"
MT PLEASANT MI,"49,700.00","49,700.00","49,700.00"
MULTIPLE,"130,500.00","130,500.00","130,500.00"
MUMBAI,"11,500.00","5,000.00","18,000.00"
MUNICH,"64,967.87",40.00,"175,000.00"
MUSCATINE,"84,000.00","84,000.00","84,000.00"
MÜNCHEN,"65,000.00","65,000.00","65,000.00"
MYRTLE BEACH,"40,000.00","40,000.00","40,000.00"
N. IDAHO,"39,800.00","39,800.00","39,800.00"
NAMUR,"44,865.00","44,865.00","44,865.00"
NANTES,"36,547.67","33,100.00","38,543.00"
NAPA,"77,600.00","77,600.00","77,600.00"
NAPERVILLE,"110,000.00","110,000.00","110,000.00"
"NAPLES, FL","47,500.00","47,500.00","47,500.00"
NASHVILLE,"76,142.86","50,000.00","105,000.00"
"NASHVILLE, TN","71,500.00","45,000.00","100,000.00"
NATIONAL POSITION,"173,000.00","173,000.00","173,000.00"
NE,"65,150.00","65,150.00","65,150.00"
NEAR PHILADELPHIA,"102,500.00","102,500.00","102,500.00"
NEW  YORK,"200,000.00","200,000.00","200,000.00"
NEW BRUNSWICK,"56,258.00","56,258.00","56,258.00"
NEW HAVEN,"82,000.00","82,000.00","82,000.00"
"NEW HAVEN, CT","131,500.00","110,000.00","153,000.00"
NEW HUDSON,"107,500.00","107,500.00","107,500.00"
NEW HYDE PARK,"54,000.00","54,000.00","54,000.00"
NEW JERSEY,"86,383.33","49,150.00","133,000.00"
NEW LONDON,"59,000.00","55,000.00","63,000.00"
NEW ORLEANS,"81,550.00","76,000.00","87,100.00"
"NEW ORLEANS, LA","70,000.00","70,000.00","70,000.00"
NEW YORK,"159,824.37","57,000.00","850,000.00"
NEW YORK CITY,"127,865.06","35,360.00","307,000.00"
"NEW YORK, NY","96,250.00","60,000.00","132,500.00"
NEWARK,"71,000.00","70,000.00","72,000.00"
"NEWARK, DE","120,000.00","120,000.00","120,000.00"
NEWCASTLE,"175,425.88","38,069.00","910,000.00"
NEWPORT BEACH,"70,000.00","70,000.00","70,000.00"
NEWRY,"49,330.00","49,330.00","49,330.00"
NICE,"55,000.00","55,000.00","55,000.00"
NICETRY2,"85,000.00","85,000.00","85,000.00"
NICOSIA,"30,730.00","30,730.00","30,730.00"
NILAI,"9,513.00","9,513.00","9,513.00"
NJ,"84,000.00","83,000.00","85,000.00"
NOCITY - GEORGIA,"24,000.00","24,000.00","24,000.00"
NOIDA,"24,200.00","24,200.00","24,200.00"
NOORDWIJK,"42,400.00","42,400.00","42,400.00"
NORFOLK,"46,758.29","14,774.88","74,000.00"
"NORFOLK, VA","80,000.00","80,000.00","80,000.00"
"NORMAN, OK","63,400.00","63,400.00","63,400.00"
NORTH ANDOVER,"61,000.00","61,000.00","61,000.00"
NORTH DAKOTA,"68,750.00","63,000.00","74,500.00"
NORTH FL,"66,000.00","66,000.00","66,000.00"
NORTH MISSISSIPPI,"85,500.00","85,500.00","85,500.00"
NORTH TEXAS,"115,800.00","115,800.00","115,800.00"
NORTH VANCOUVER,"28,500.00","28,500.00","28,500.00"
NORTHERN CALIFORNIA,"70,000.00","70,000.00","70,000.00"
NORTHERN NJ,"85,000.00","85,000.00","85,000.00"
NORTHWEST FLORIDA,"86,000.00","86,000.00","86,000.00"
NORWICH,"37,000.00","37,000.00","37,000.00"
NOTTINGHAM,"36,240.83",48.00,"68,000.00"
NOVA,"80,000.00","80,000.00","80,000.00"
NOVI,"103,000.00","103,000.00","103,000.00"
NÜRNBERG,"45,300.00","45,300.00","45,300.00"
NW ARKANSAS,"106,000.00","106,000.00","106,000.00"
NY,"83,000.00","83,000.00","83,000.00"
NY METRO AREA,"127,800.00","127,800.00","127,800.00"
NYC,"122,971.20",160.00,"382,000.00"
OAK BROOK,"89,000.00","89,000.00","89,000.00"
"OAK BROOK, IL","100,000.00","100,000.00","100,000.00"
OAK RIDGE,"93,177.00","93,177.00","93,177.00"
OAKLAND,"123,500.00","75,000.00","172,000.00"
OAKLAND CA,"145,000.00","145,000.00","145,000.00"
"OAKLAND, CA","124,000.00","124,000.00","124,000.00"
ODENSE,"73,666.67","68,000.00","84,000.00"
"ODESSA, TX","94,500.00","94,500.00","94,500.00"
OGDEN,"47,500.00","47,500.00","47,500.00"
"OGDEN, UT","120,000.00","120,000.00","120,000.00"
OHIO,"49,000.00","49,000.00","49,000.00"
OKLAHOMA CITY,"79,235.04","44,585.46","153,000.00"
"OKLAHOMA CITY, OK","79,560.00","79,560.00","79,560.00"
OMAHA,"92,588.89","41,600.00","140,000.00"
"OMAHA, NE","70,000.00","70,000.00","70,000.00"
"OMAHA, NEBRASKA","70,000.00","70,000.00","70,000.00"
ONTARIO,"42,500.00","42,500.00","42,500.00"
"ONTARIO, CA","83,000.00","83,000.00","83,000.00"
"ONTARIO, OH","41,500.00","41,500.00","41,500.00"
ORANGE,"115,000.00","115,000.00","115,000.00"
ORANGE COUNTY,"93,500.00","70,000.00","145,000.00"
"ORANGE COUNTY, CA","73,500.00","50,000.00","97,000.00"
"ORANGE, CALIFORNIA","55,000.00","55,000.00","55,000.00"
ORANGEBURG,"107,000.00","107,000.00","107,000.00"
OREGON,"92,500.00","70,000.00","115,000.00"
OREM,16.00,16.00,16.00
ORLANDO,"83,285.62","35,320.00","154,250.00"
"ORLANDO, FLORIDA","60,100.00","60,100.00","60,100.00"
OSHAWA,"35,600.00","35,600.00","35,600.00"
"OSHAWA, ON","33,851.00","33,851.00","33,851.00"
OSKARSHAMN,"48,945.00","48,945.00","48,945.00"
OSLO,"69,945.00","40,120.00","95,000.00"
"OSSINING, NY","45,000.00","45,000.00","45,000.00"
OTTAWA,"66,341.56","22,800.00","122,000.00"
OTTAWA/GATINEAU,"82,416.00","82,416.00","82,416.00"
OUTSIDE SEATTLE,"90,720.00","90,720.00","90,720.00"
OVERLAND PARK,"60,800.00","60,800.00","60,800.00"
OXFORD,"43,000.00","43,000.00","43,000.00"
ÖREBRO,"3,500.00","3,500.00","3,500.00"
PALM BEACH,"45,000.00","45,000.00","45,000.00"
PALMERSTON NORTH,"45,500.00","45,500.00","45,500.00"
PALO ALTO,"185,400.00","84,000.00","340,000.00"
"PALO ALTO, CA","105,600.00","105,600.00","105,600.00"
PANAMA CITY,"50,000.00","50,000.00","50,000.00"
PARAGOULD,"69,000.00","69,000.00","69,000.00"
PARIS,"58,385.43","29,000.00","102,000.00"
PARIS AND ITS AREA,"33,900.00","33,900.00","33,900.00"
PASADENA,"45,500.00","36,000.00","55,000.00"
"PASO ROBLES, CA","75,000.00","75,000.00","75,000.00"
"PATUXENT RIVER, MD","85,000.00","85,000.00","85,000.00"
PDX,"105,000.00","105,000.00","105,000.00"
PEORIA,"73,000.00","52,000.00","106,000.00"
"PEORIA, IL","64,400.00","64,400.00","64,400.00"
PERTH,"65,704.69","37,741.00","120,000.00"
PETALUMA,"104,000.00","104,000.00","104,000.00"
PETERBOROUGH,"65,500.00","65,500.00","65,500.00"
PHILADELPHIA,"101,769.44","39,200.00","300,000.00"
"PHILADELPHIA, PA","47,500.00","47,500.00","47,500.00"
"PHILLIPSBURG, NJ","52,314.40","52,314.40","52,314.40"
PHOENIX,"81,037.78","41,600.00","140,800.00"
"PHOENIX, AZ","85,103.00","64,206.00","106,000.00"
PHX,"66,000.00","66,000.00","66,000.00"
PITTSBURGH,"86,544.44","41,000.00","156,000.00"
"PITTSBURGH, PA","80,000.00","60,000.00","100,000.00"
PLANO,"94,250.00","67,000.00","112,000.00"
"PLANO, TX","120,000.00","120,000.00","120,000.00"
PLATTSBURGH,"81,400.00","81,400.00","81,400.00"
PLEASANTON,"161,694.11","95,082.34","220,000.00"
PLÖN,"32,000.00","32,000.00","32,000.00"
PMI,"17,830.00","17,830.00","17,830.00"
"PORT ARTHUR, TX","66,000.00","57,000.00","75,000.00"
PORT GLASGOW,"45,750.00","45,750.00","45,750.00"
PORT OF SPAIN,"31,865.00","31,865.00","31,865.00"
PORTLAND,"105,423.42","45,000.00","216,979.00"
PORTLAND ME,"69,000.00","55,000.00","83,000.00"
"PORTLAND, MAINE","85,000.00","75,000.00","95,000.00"
"PORTLAND, OR","93,000.00","42,000.00","166,000.00"
PORTO,"28,125.00","11,700.00","60,000.00"
POTTSVILLE,"60,000.00","60,000.00","60,000.00"
POUGHKEEPSIE,"86,524.00","86,524.00","86,524.00"
POZNAŃ,"30,636.00","30,636.00","30,636.00"
PR,"28,000.00","28,000.00","28,000.00"
PRAGUE,"31,419.67","13,618.00","46,000.00"
PRESTON,"31,119.00","31,119.00","31,119.00"
