City,Average Compensation (USD),Min Compensation (USD),Max Compensation (USD)
"WASHINGTON, D.C.","127,166.67","70,000.00","193,000.00"
"WASHINGTON, DC","122,918.89","10,300.00","185,000.00"
WATERFORD,"74,000.00","74,000.00","74,000.00"
WATERLOO,"64,564.50","60,829.00","68,300.00"
WB,57.00,57.00,57.00
WELLINGTON,"60,035.00","38,581.00","83,500.00"
WEST BEND,"65,000.00","65,000.00","65,000.00"
"WEST FARGO, ND","52,000.00","52,000.00","52,000.00"
WEST LAFAYETTE,"68,750.00","65,000.00","72,500.00"
WEST LIBERTY,"66,000.00","66,000.00","66,000.00"
WEST MIDLANDS,"43,157.00","43,157.00","43,157.00"
WEST PALM BEACH,"134,343.92","134,343.92","134,343.92"
WEST SENECA,"54,705.00","54,705.00","54,705.00"
WEST VALLEY CITY,"105,000.00","105,000.00","105,000.00"
WESTBROOK,"91,700.00","91,700.00","91,700.00"
WESTERN NY,"87,500.00","87,500.00","87,500.00"
WESTERN PA,"174,500.00","174,500.00","174,500.00"
WESTFORD,"120,000.00","120,000.00","120,000.00"
"WESTLAKE VILLAGE, CA","220,000.00","220,000.00","220,000.00"
"WESTLAKE, OH","71,000.00","71,000.00","71,000.00"
WFH,"102,000.00","92,000.00","112,000.00"
WICHITA,"73,333.33","60,000.00","85,000.00"
WILLIAMSPORT,"58,000.00","58,000.00","58,000.00"
WILMINGTON,"102,000.00","102,000.00","102,000.00"
"WILMINGTON, DE","65,180.00","65,180.00","65,180.00"
"WILTON, CT","52,000.00","52,000.00","52,000.00"
WINNIPEG,"59,958.11","27,378.00","86,300.00"
WISCONSIN,"132,000.00","132,000.00","132,000.00"
WIXOM,"60,000.00","60,000.00","60,000.00"
"WOBURN, MA","81,000.00","81,000.00","81,000.00"
WOKING,"55,700.00","55,700.00","55,700.00"
WOODLAND HILLS,"80,000.00","80,000.00","80,000.00"
WORCESTERSHIRE,"25,500.00","25,500.00","25,500.00"
WROCLAW,"55,500.00","55,500.00","55,500.00"
WROCŁAW,"53,174.74","53,174.74","53,174.74"
WÜRZBURG,"30,000.00","30,000.00","30,000.00"
XXX,"13,000.00","13,000.00","13,000.00"
YAKIMA,"50,090.00","50,090.00","50,090.00"
YARMOUTH,"63,250.00","54,000.00","72,500.00"
YORK,"55,041.75","32,000.00","103,000.00"
YPSILANTI,"62,000.00","62,000.00","62,000.00"
YVERDON-LES-BAINS,"70,000.00","70,000.00","70,000.00"
ZAGREB,"11,500.00","11,000.00","12,000.00"
ZARAGOZA,"45,000.00","45,000.00","45,000.00"
ZOETERMEER,"24,400.00","24,400.00","24,400.00"
"ZOLA PREDOSA, BOLOGNA","41,782.00","41,782.00","41,782.00"
ZURICH,"132,225.20","90,000.00","200,000.00"
